genus,species,common_nam,street_num,street_nam,site,date_deliv,time_deliv,date_compl,time_compl,estimated_,source,program_ye,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area
Ulmus,alata,Winged elm,8817,Gramel St,1F,1/31/2019,00:00.0,2/26/2019,00:00.0,1256,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Halesia,diptera,Two-winged silverbell,8709,Executive Dr,2FL,1/11/2019,00:00.0,2/6/2019,00:00.0,706.5,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Lagerstroemia,indica x fauriei 'Natchez',Natchez crape myrtle,8811,Granby St,1F,12/28/2017,00:00.0,2/26/2018,00:00.0,314.159265,Purchased,2018,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Halesia,diptera,Two-winged silverbell,8709,Executive Dr,1FL,1/11/2019,00:00.0,2/6/2019,00:00.0,706.5,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Ulmus,alata,Winged elm,8816,Gramel St,2F,1/31/2019,00:00.0,2/26/2019,00:00.0,1256,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Lagerstroemia,indica x fauriei 'Tuscarora',Tuscarora crape myrtle,138,Glendale Ave,1S,12/28/2017,00:00.0,1/16/2018,00:00.0,314.159265,Purchased,2018,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Cercis,canadensis 'Merlot',Merlot redbud,8100,Evergreen Ave,5F,11/21/2018,00:00.0,11/28/2018,00:00.0,490.873852,City Nursery,2019,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Cercis,canadensis 'Merlot',Merlot redbud,8100,Evergreen Ave,4F,11/21/2018,00:00.0,11/28/2018,00:00.0,490.873852,City Nursery,2019,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Cercis,canadensis 'Merlot',Merlot redbud,8100,Evergreen Ave,1F,11/21/2018,00:00.0,11/28/2018,00:00.0,490.873852,City Nursery,2019,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Cercis,canadensis 'Merlot',Merlot redbud,8100,Evergreen Ave,2F,11/21/2018,00:00.0,11/28/2018,00:00.0,490.873852,City Nursery,2019,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Cercis,canadensis,Redbud,8100,Evergreen Ave,1P,1/12/2018,00:00.0,1/16/2018,00:00.0,490.873852,City Nursery,2018,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Quercus,phellos,Willow oak,8100,Evergreen Ave,2P,10/27/2017,00:00.0,1/22/2018,00:00.0,1963.49541,City Nursery,2018,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Lagerstroemia,indica x fauriei 'Tuscarora',Tuscarora crape myrtle,138,Glendale Ave,2S,12/28/2017,00:00.0,1/16/2018,00:00.0,314.159265,Purchased,2018,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
Taxodium,distichum,Bald cypress,1625,W. Little Creek Rd,8P,12/7/2018,00:00.0,12/17/2018,00:00.0,490.873852,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Ostrya,virginiana,Hophornbeam,7335,Shirland Ave,2F,10/26/2017,00:00.0,10/30/2017,00:00.0,706.858347,City Nursery,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
